TransactionID,ProductID,Quantity,Price,Timestamp,StoreID
1,3732,4,40.02,2021-02-22 15:57:50,17
2,3607,2,24.29,2021-12-19 06:49:23,34
3,2653,7,93.07,2021-10-11 04:06:41,43
4,4264,1,62.81,2021-06-16 12:11:54,35
5,1835,4,92.09,2021-08-07 04:16:30,1
6,1763,5,72.66,2021-10-31 04:12:27,15
7,2731,6,22.97,2021-01-11 06:01:04,48
8,4431,7,30.43,2021-09-26 21:49:59,39
9,2033,7,34.43,2021-10-13 19:57:24,1
10,4795,7,46.89,2021-12-02 10:44:00,10
11,1277,4,22.67,2021-06-28 00:45:47,10
12,2778,4,21.67,2021-05-16 02:43:03,43
13,2828,6,11.66,2021-01-14 05:19:10,1
14,3647,2,23.94,2021-02-23 20:13:26,3
15,4142,6,40.56,2021-10-28 00:02:08,13
16,4544,8,75.51,2021-07-03 19:16:19,31
17,3648,4,64.29,2021-12-08 14:23:23,45
18,4468,1,43.34,2021-10-16 17:32:27,15
19,3362,3,72.56,2021-04-27 18:21:14,30
20,1705,6,26.45,2021-09-19 08:30:21,4
21,4558,5,37.2,2021-03-14 11:53:43,37
22,3599,9,57.06,2021-07-25 13:10:22,45
23,3135,1,51.81,2021-09-16 05:59:52,21
24,3222,2,79.39,2021-07-31 16:37:04,41
25,4672,8,26.65,2021-10-11 17:34:24,12
26,3897,1,87.11,2021-04-16 10:23:03,13
27,2701,2,82.49,2021-04-23 19:11:26,20
28,1537,8,43.0,2021-02-04 03:15:19,11
29,3893,8,88.01,2021-11-06 22:27:17,29
30,3120,7,65.37,2021-02-10 00:58:56,3
31,3825,6,57.3,2021-11-20 09:12:40,29
32,2940,1,60.77,2021-11-15 11:34:16,27
33,3163,7,53.88,2021-10-08 23:02:21,14
34,1976,3,66.51,2021-12-05 19:45:43,8
35,1755,3,46.3,2021-04-07 04:23:52,33
36,4781,3,48.1,2021-07-06 03:53:31,34
37,3046,5,26.67,2021-10-18 18:34:51,5
38,2871,6,53.64,2021-04-03 14:40:58,3
39,4503,7,33.87,2021-03-22 19:02:46,2
40,3496,6,38.85,2021-03-10 04:54:58,41
41,3898,3,14.87,2021-01-27 22:03:36,2
42,1099,6,59.48,2021-07-09 22:10:49,32
43,3008,6,98.01,2021-04-27 20:14:27,17
44,4249,7,30.66,2021-01-27 09:20:38,24
45,1755,7,89.15,2021-12-16 18:04:26,29
46,1797,2,6.91,2021-05-08 22:38:29,30
47,1659,9,46.33,2021-08-19 15:15:17,43
48,4219,2,86.78,2021-08-03 18:59:59,10
49,3958,6,33.7,2021-09-30 15:55:06,26
50,1423,4,21.09,2021-03-21 02:34:26,44
51,4360,3,67.59,2021-05-13 08:18:53,41
52,4337,1,95.22,2021-06-22 11:50:27,8
53,3745,1,64.69,2021-11-25 14:03:05,37
54,1639,4,13.58,2021-09-11 14:44:59,39
55,1544,1,76.16,2021-11-18 13:01:53,16
56,3591,2,5.56,2021-08-08 19:16:54,18
57,1714,6,56.48,2021-07-12 03:28:50,42
58,3292,7,85.67,2021-09-30 13:37:47,19
59,1151,2,45.83,2021-08-03 15:44:23,12
60,3723,5,25.86,2021-03-02 12:07:50,27
61,3558,7,88.31,2021-12-20 07:44:45,45
62,4531,5,19.69,2021-02-22 00:02:37,22
63,3930,2,42.82,2021-11-12 00:53:55,42
64,2207,1,48.75,2021-08-22 09:04:03,34
65,3076,2,7.99,2021-10-19 13:36:19,38
66,1802,1,54.88,2021-04-17 12:28:23,23
67,3176,3,62.29,2021-08-08 07:50:21,48
68,3176,8,44.49,2021-07-16 06:48:34,24
69,2956,3,8.33,2021-12-19 20:33:24,44
70,4125,3,15.48,2021-02-07 19:57:07,19
71,2925,4,42.27,2021-06-18 00:33:52,6
72,4622,2,45.28,2021-03-04 05:33:57,3
73,4560,7,91.77,2021-11-02 11:29:52,47
74,1756,5,40.39,2021-05-23 15:32:12,26
75,1273,4,73.82,2021-09-08 11:52:37,20
76,3383,4,63.46,2021-07-26 03:12:47,38
77,1388,5,8.65,2021-07-08 17:50:10,10
78,2641,3,48.71,2021-08-06 11:06:12,25
79,4114,6,68.89,2021-06-25 05:38:35,35
80,2466,7,34.44,2021-03-16 22:33:46,49
81,3591,2,74.92,2021-04-23 03:30:09,24
82,1888,5,93.81,2021-04-19 04:01:03,21
83,1257,1,30.69,2021-08-04 22:31:02,34
84,2345,7,60.83,2021-02-10 15:06:41,18
85,3105,1,6.33,2021-06-15 10:28:27,19
86,3339,6,65.14,2021-10-26 20:27:27,3
87,4942,9,53.57,2021-11-26 17:34:43,6
88,4191,9,41.17,2021-07-06 09:28:09,20
89,3827,3,90.88,2021-01-23 01:27:39,22
90,1430,9,94.39,2021-11-02 03:14:15,33
91,4154,5,37.21,2021-06-20 15:58:55,14
92,1091,3,55.56,2021-11-18 04:11:39,44
93,2920,6,13.5,2021-06-03 10:24:35,9
94,3446,9,55.56,2021-04-28 02:33:58,45
95,3659,9,88.57,2021-03-28 04:54:21,25
96,2589,5,24.06,2021-08-17 07:20:06,47
97,3956,7,9.57,2021-06-01 15:47:26,16
98,3681,2,42.28,2021-06-08 22:40:16,7
99,1084,5,23.97,2021-06-07 07:51:11,11
100,3251,5,32.25,2021-03-17 18:02:08,27
101,1324,7,92.95,2021-06-06 22:08:41,40
102,1774,4,88.12,2021-05-01 14:45:10,17
103,4012,3,36.59,2021-10-31 22:59:53,5
104,2071,6,90.65,2021-09-15 19:20:10,29
105,1639,7,84.82,2021-06-23 05:37:15,10
106,3036,3,98.12,2021-09-26 23:55:29,47
107,2155,4,55.05,2021-06-26 06:15:19,25
108,1972,8,54.58,2021-05-15 03:33:53,24
109,3916,9,94.71,2021-08-23 02:36:11,44
110,2204,2,88.76,2021-12-11 01:29:08,12
111,3024,7,95.88,2021-01-16 21:38:38,5
112,4918,9,38.03,2021-04-02 02:49:24,29
113,2167,6,46.75,2021-01-11 19:09:21,35
114,2684,5,80.48,2021-12-06 11:35:50,23
115,4299,3,64.61,2021-07-16 09:20:54,32
116,4002,2,10.01,2021-03-05 21:20:00,40
117,3839,5,89.23,2021-04-11 12:12:16,19
118,3767,9,55.31,2021-04-03 07:34:56,25
119,3957,8,43.09,2021-10-21 15:15:43,45
120,1373,3,77.01,2021-10-19 03:08:47,37
121,2877,6,14.74,2021-05-17 08:23:49,1
122,1560,3,50.7,2021-10-20 06:36:18,43
123,2329,2,58.73,2021-02-10 20:19:50,13
124,2605,5,32.84,2021-05-16 16:26:33,12
125,3217,3,79.4,2021-10-14 04:03:23,47
126,2699,2,94.11,2021-08-31 14:51:08,43
127,2472,4,64.95,2021-07-13 21:41:06,37
128,4167,8,67.17,2021-12-14 19:36:14,42
129,4269,1,92.85,2021-04-23 23:22:14,41
130,4678,6,54.23,2021-09-22 23:49:42,12
131,1256,7,17.14,2021-05-09 20:01:19,36
132,2905,4,85.05,2021-09-16 00:16:26,38
133,4762,2,94.68,2021-04-07 12:27:23,9
