Tenure,Monthly_Charges,Service_Type,Churn
67,115.41,Internet,No
55,97.76,Multiple,No
62,52.84,Phone,No
18,40.86,Multiple,No
56,81.29,Phone,No
22,62.4,Multiple,No
8,104.79,Phone,No
11,97.05,Multiple,No
12,54.88,Multiple,No
48,31.53,Phone,No
63,51.36,Phone,Yes
27,81.04,Phone,No
35,37.11,Multiple,No
2,89.24,Internet,No
8,90.45,Multiple,No
20,45.25,Phone,No
8,83.67,Phone,No
63,84.63,Multiple,No
68,73.02,Multiple,No
31,115.79,Multiple,No
32,39.73,Multiple,No
13,66.6,Multiple,No
26,109.46,Phone,No
29,64.77,Phone,Yes
18,68.22,Phone,No
69,90.14,Multiple,No
12,89.9,Internet,No
2,32.06,Internet,No
42,71.01,Multiple,No
7,60.02,Multiple,No
47,86.49,Phone,No
54,80.01,Internet,No
15,88.58,Phone,Yes
58,88.84,Internet,Yes
33,52.94,Phone,No
67,52.18,Phone,No
63,63.33,Multiple,Yes
48,51.78,Multiple,No
66,91.45,Multiple,No
65,84.26,Phone,Yes
36,49.47,Multiple,No
17,109.57,Multiple,No
2,71.46,Multiple,No
33,41.43,Multiple,No
6,49.17,Multiple,No
43,78.59,Phone,No
11,60.46,Multiple,No
5,106.61,Multiple,No
30,74.53,Phone,No
10,112.38,Internet,No
24,39.16,Phone,No
59,90.17,Multiple,Yes
67,109.72,Multiple,Yes
61,56.36,Multiple,No
26,42.21,Internet,No
39,71.1,Phone,No
3,116.52,Multiple,No
38,87.01,Phone,No
42,87.96,Internet,No
48,90.44,Multiple,No
13,33.58,Multiple,No
56,70.11,Multiple,No
59,36.98,Phone,Yes
63,58.43,Phone,No
43,103.94,Multiple,No
57,89.06,Phone,No
21,119.6,Internet,Yes
54,45.49,Internet,Yes
53,65.73,Internet,No
45,102.87,Internet,No
36,49.41,Internet,No
63,43.83,Internet,No
1,68.49,Phone,No
67,64.54,Phone,No
33,118.22,Multiple,Yes
32,71.06,Internet,Yes
58,107.49,Internet,No
26,109.92,Internet,No
61,44.21,Phone,No
17,94.38,Phone,No
69,54.98,Internet,Yes
29,38.53,Internet,No
63,108.72,Internet,No
6,56.32,Phone,Yes
59,61.08,Phone,No
21,59.16,Internet,No
45,48.03,Internet,Yes
45,69.11,Multiple,No
35,68.55,Phone,No
52,66.79,Multiple,No
46,112.47,Multiple,No
66,60.58,Internet,No
57,32.73,Multiple,Yes
42,46.06,Multiple,No
16,94.93,Phone,No
5,83.18,Internet,Yes
1,115.66,Phone,Yes
22,92.5,Internet,No
48,47.48,Phone,No
26,40.86,Multiple,No
34,76.87,Internet,No
58,89.87,Multiple,No
7,44.91,Phone,No
25,84.15,Multiple,No
57,107.85,Multiple,No
12,95.48,Internet,No
31,89.78,Multiple,No
27,101.04,Internet,No
34,39.37,Phone,No
34,48.34,Multiple,No
37,33.43,Internet,No
58,43.05,Phone,No
60,112.19,Internet,No
26,49.99,Multiple,No
45,89.59,Internet,No
45,92.24,Multiple,No
32,88.08,Multiple,No
69,79.85,Phone,No
71,73.75,Internet,No
23,67.79,Multiple,No
65,112.52,Multiple,No
39,30.86,Phone,No
67,34.81,Internet,No
45,74.33,Multiple,No
67,59.75,Multiple,No
63,66.74,Multiple,No
70,119.81,Phone,No
54,99.76,Multiple,No
27,108.97,Phone,Yes
36,63.17,Multiple,Yes
5,51.56,Multiple,No
67,99.12,Internet,No
51,102.68,Phone,No
32,79.49,Multiple,No
21,110.63,Multiple,No
17,117.06,Internet,No
26,72.39,Multiple,No
22,50.04,Phone,Yes
41,76.54,Multiple,No
59,119.06,Multiple,No
10,56.36,Internet,No
5,85.58,Multiple,No
55,92.46,Multiple,No
26,49.25,Internet,No
4,82.96,Phone,No
27,58.31,Phone,Yes
58,106.88,Multiple,No
3,94.33,Internet,No
50,104.36,Phone,No
26,47.97,Multiple,Yes
18,33.11,Phone,Yes
7,106.55,Internet,No
45,64.81,Phone,Yes
13,46.18,Multiple,No
6,38.27,Internet,Yes
35,76.49,Multiple,No
53,43.51,Internet,Yes
68,81.0,Phone,No
42,95.46,Internet,Yes
4,78.16,Internet,Yes
60,111.33,Multiple,No
45,44.0,Multiple,Yes
66,74.46,Multiple,Yes
22,44.69,Internet,Yes
12,108.83,Internet,Yes
51,113.9,Internet,No
17,66.0,Multiple,No
36,57.52,Multiple,No
49,55.14,Multiple,No
16,107.38,Multiple,Yes
44,91.42,Phone,No
22,109.25,Multiple,Yes
8,40.58,Multiple,No
18,72.84,Internet,Yes
38,90.86,Multiple,No
29,110.74,Multiple,No
2,64.38,Internet,No
59,58.18,Phone,No
42,112.17,Internet,No
21,34.28,Multiple,Yes
2,73.16,Multiple,No
5,71.28,Phone,No
17,43.15,Multiple,No
24,65.55,Phone,No
8,95.03,Internet,No
30,63.02,Internet,No
50,57.87,Internet,No
22,100.37,Phone,No
59,118.98,Multiple,No
24,100.14,Multiple,Yes
26,106.17,Internet,No
61,114.56,Phone,Yes
8,102.16,Phone,No
12,118.23,Phone,No
14,97.26,Phone,No
30,89.54,Multiple,Yes
55,92.4,Internet,No
61,111.01,Phone,No
62,91.47,Phone,No
31,98.51,Multiple,No
27,49.44,Internet,Yes
1,112.14,Internet,No
41,70.25,Internet,No
14,44.5,Phone,Yes
50,101.98,Multiple,No
42,62.08,Phone,No
71,46.57,Multiple,Yes
40,53.06,Phone,No
14,33.15,Internet,Yes
11,38.16,Multiple,No
63,83.34,Multiple,No
49,107.96,Internet,Yes
37,70.37,Internet,No
10,86.35,Phone,No
54,102.88,Multiple,No
7,62.11,Multiple,No
12,88.89,Internet,No
55,61.54,Internet,No
36,87.84,Phone,No
7,49.58,Multiple,Yes
24,118.01,Internet,Yes
34,36.86,Internet,Yes
65,75.47,Multiple,Yes
29,55.77,Phone,Yes
26,84.08,Phone,Yes
65,68.55,Internet,Yes
45,57.6,Phone,No
17,52.5,Internet,Yes
36,46.42,Multiple,Yes
63,100.46,Phone,No
23,50.0,Phone,No
66,99.62,Phone,No
42,73.65,Phone,No
71,36.5,Phone,No
71,44.89,Phone,No
43,110.36,Internet,No
55,84.25,Multiple,No
56,46.59,Phone,Yes
31,93.34,Multiple,No
56,104.09,Phone,No
48,59.76,Multiple,No
52,80.09,Multiple,No
1,56.41,Multiple,No
2,37.21,Phone,Yes
42,65.96,Internet,No
9,97.63,Multiple,No
31,71.28,Internet,No
2,66.47,Phone,Yes
24,62.94,Multiple,No
43,71.3,Multiple,No
70,58.64,Multiple,No
43,85.1,Phone,No
51,35.72,Internet,No
46,102.66,Internet,No
1,45.59,Internet,No
67,87.01,Phone,No
1,70.49,Internet,Yes
63,99.61,Multiple,No
62,104.35,Internet,No
61,48.38,Multiple,No
40,90.95,Internet,Yes
29,47.09,Internet,No
35,41.16,Phone,No
11,113.73,Multiple,No
11,44.8,Phone,No
63,50.53,Multiple,No
69,41.73,Internet,No
56,72.33,Internet,No
7,112.76,Multiple,Yes
51,53.77,Phone,No
39,78.77,Internet,No
42,67.03,Internet,No
53,60.24,Multiple,No
21,81.49,Multiple,No
30,80.3,Multiple,No
1,62.34,Phone,No
24,106.55,Phone,No
6,34.79,Phone,No
6,37.67,Multiple,No
69,119.17,Internet,No
62,97.29,Internet,Yes
35,102.35,Multiple,No
35,84.24,Multiple,Yes
48,67.79,Phone,No
43,86.63,Multiple,Yes
35,38.33,Phone,No
5,98.2,Phone,No
31,78.67,Multiple,No
31,116.11,Internet,No
8,87.37,Multiple,No
6,43.65,Internet,No
53,72.98,Multiple,No
44,35.2,Phone,Yes
49,97.09,Multiple,No
8,75.16,Multiple,No
64,63.27,Internet,No
4,117.17,Phone,No
32,114.65,Phone,No
53,115.75,Multiple,No
67,49.89,Internet,No
63,95.57,Internet,No
60,115.08,Multiple,Yes
33,81.38,Multiple,No
22,49.27,Internet,No
31,103.6,Multiple,No
24,109.19,Internet,No
3,93.29,Multiple,No
33,56.42,Phone,No
26,47.16,Phone,No
51,86.18,Multiple,No
30,73.45,Internet,No
35,90.19,Internet,No
25,40.05,Multiple,No
28,42.23,Internet,No
26,62.66,Phone,Yes
8,53.29,Multiple,No
15,85.74,Multiple,No
49,63.08,Multiple,Yes
8,91.56,Internet,No
55,99.19,Internet,Yes
58,46.85,Internet,No
3,112.78,Phone,Yes
9,100.84,Phone,No
14,86.41,Phone,No
20,111.8,Multiple,Yes
4,53.93,Multiple,No
24,67.95,Internet,No
28,37.72,Phone,No
31,71.06,Phone,No
67,75.58,Phone,No
64,85.45,Multiple,No
17,35.76,Internet,No
6,32.92,Multiple,No
60,67.79,Internet,No
11,47.02,Multiple,No
38,98.29,Multiple,No
34,90.19,Phone,No
47,59.32,Internet,No
32,34.12,Multiple,No
57,46.42,Internet,No
46,92.25,Internet,Yes
35,119.11,Internet,No
22,59.38,Internet,No
16,102.18,Internet,No
5,108.04,Phone,No
26,34.34,Multiple,No
24,112.46,Phone,No
67,71.96,Internet,No
32,116.78,Phone,Yes
23,78.47,Phone,Yes
49,51.16,Multiple,No
