SessionID,UserID,Platform,SessionDuration,PagesVisited,PurchaseMade,SessionStartTime
1,861,Website,257.88,2.0,0,2021-06-01 00:00:00
2,1295,MobileApp,344.09,10.0,0,2021-06-01 00:01:00
3,1131,Website,889.88,4.0,0,2021-06-01 00:02:00
4,1096,Website,617.78,7.0,0,2021-06-01 00:03:00
5,1639,Website,1016.97,3.0,0,2021-06-01 00:04:00
6,2170,,519.84,4.0,0,2021-06-01 00:05:00
7,467,MobileApp,240.03,2.0,0,2021-06-01 00:06:00
8,1239,Website,50.52,10.0,0,2021-06-01 00:07:00
9,331,MobileApp,646.73,6.0,0,2021-06-01 00:08:00
10,1483,MobileApp,722.36,6.0,1,2021-06-01 00:09:00
11,2136,MobileApp,364.28,5.0,1,2021-06-01 00:10:00
12,2920,MobileApp,148.82,5.0,0,2021-06-01 00:11:00
13,131,Website,317.38,9.0,1,2021-06-01 00:12:00
14,1686,MobileApp,835.16,6.0,0,2021-06-01 00:13:00
15,770,MobileApp,,,0,2021-06-01 00:14:00
16,2392,MobileApp,,,1,2021-06-01 00:15:00
17,1516,MobileApp,1265.29,5.0,0,2021-06-01 00:16:00
18,2854,Website,170.34,6.0,0,2021-06-01 00:17:00
19,2434,Website,817.13,7.0,0,2021-06-01 00:18:00
20,1216,MobileApp,506.54,5.0,0,2021-06-01 00:19:00
21,956,MobileApp,848.25,6.0,0,2021-06-01 00:20:00
22,2325,Website,55.37,10.0,1,2021-06-01 00:21:00
23,1185,Website,267.36,6.0,0,2021-06-01 00:22:00
24,460,MobileApp,272.42,5.0,0,2021-06-01 00:23:00
25,22,Website,305.29,4.0,0,2021-06-01 00:24:00
26,2301,Website,445.98,3.0,0,2021-06-01 00:25:00
27,748,Website,679.5,4.0,0,2021-06-01 00:26:00
28,2905,MobileApp,,,0,2021-06-01 00:27:00
29,475,MobileApp,773.02,7.0,0,2021-06-01 00:28:00
30,1083,MobileApp,1387.89,5.0,1,2021-06-01 00:29:00
31,2559,MobileApp,183.48,6.0,0,2021-06-01 00:30:00
32,2048,Website,635.74,2.0,1,2021-06-01 00:31:00
33,2748,Website,794.33,3.0,0,2021-06-01 00:32:00
34,976,MobileApp,405.14,4.0,0,2021-06-01 00:33:00
35,1807,Website,499.8,4.0,1,2021-06-01 00:34:00
36,190,Website,420.79,3.0,0,2021-06-01 00:35:00
37,2735,MobileApp,609.58,4.0,0,2021-06-01 00:36:00
38,563,Website,475.2,3.0,0,2021-06-01 00:37:00
39,1900,MobileApp,740.86,3.0,0,2021-06-01 00:38:00
40,1268,MobileApp,322.17,3.0,0,2021-06-01 00:39:00
41,2880,MobileApp,602.72,7.0,0,2021-06-01 00:40:00
42,1529,Website,248.15,8.0,0,2021-06-01 00:41:00
43,647,Website,1011.8,7.0,0,2021-06-01 00:42:00
44,2069,MobileApp,1356.34,4.0,0,2021-06-01 00:43:00
45,2889,,307.86,4.0,0,2021-06-01 00:44:00
46,2215,Website,2726.67,6.0,0,2021-06-01 00:45:00
47,1298,,1720.35,7.0,0,2021-06-01 00:46:00
48,2436,MobileApp,626.98,4.0,1,2021-06-01 00:47:00
49,601,MobileApp,296.32,3.0,0,2021-06-01 00:48:00
50,2364,Website,828.64,6.0,1,2021-06-01 00:49:00
51,2062,Website,,,0,2021-06-01 00:50:00
52,242,Website,934.95,6.0,1,2021-06-01 00:51:00
53,2042,Website,1014.5,10.0,0,2021-06-01 00:52:00
54,2825,,945.76,2.0,0,2021-06-01 00:53:00
55,2613,Website,356.62,7.0,0,2021-06-01 00:54:00
56,2946,MobileApp,832.33,9.0,0,2021-06-01 00:55:00
57,1364,Website,1044.38,8.0,1,2021-06-01 00:56:00
58,2140,MobileApp,425.42,4.0,0,2021-06-01 00:57:00
59,1391,Website,343.09,6.0,1,2021-06-01 00:58:00
60,1479,Website,132.7,5.0,1,2021-06-01 00:59:00
61,2557,Website,264.02,4.0,1,2021-06-01 01:00:00
62,776,MobileApp,,,1,2021-06-01 01:01:00
63,35,Website,931.04,6.0,0,2021-06-01 01:02:00
64,2254,Website,916.44,5.0,1,2021-06-01 01:03:00
65,1956,Website,200.45,10.0,1,2021-06-01 01:04:00
66,1586,MobileApp,235.7,4.0,0,2021-06-01 01:05:00
67,1022,MobileApp,356.42,9.0,1,2021-06-01 01:06:00
68,2614,MobileApp,900.39,5.0,1,2021-06-01 01:07:00
69,1130,MobileApp,876.91,5.0,0,2021-06-01 01:08:00
70,1501,Website,45.59,7.0,0,2021-06-01 01:09:00
71,703,MobileApp,132.55,6.0,1,2021-06-01 01:10:00
72,2450,Website,,,0,2021-06-01 01:11:00
73,2778,Website,642.11,3.0,1,2021-06-01 01:12:00
74,1580,MobileApp,837.54,9.0,0,2021-06-01 01:13:00
75,162,MobileApp,217.64,6.0,0,2021-06-01 01:14:00
76,202,Website,240.0,1.0,0,2021-06-01 01:15:00
77,1982,Website,322.48,5.0,1,2021-06-01 01:16:00
78,996,MobileApp,131.98,3.0,0,2021-06-01 01:17:00
79,2318,MobileApp,436.15,5.0,0,2021-06-01 01:18:00
80,816,Website,158.47,3.0,0,2021-06-01 01:19:00
81,456,Website,254.15,3.0,0,2021-06-01 01:20:00
82,1276,MobileApp,724.22,3.0,0,2021-06-01 01:21:00
83,1017,MobileApp,512.61,3.0,0,2021-06-01 01:22:00
84,2344,,543.05,4.0,1,2021-06-01 01:23:00
85,2768,Website,347.0,1.0,0,2021-06-01 01:24:00
86,338,Website,1066.39,0.0,0,2021-06-01 01:25:00
87,879,Website,372.47,2.0,1,2021-06-01 01:26:00
88,1077,MobileApp,2060.24,4.0,0,2021-06-01 01:27:00
89,792,Website,199.4,6.0,0,2021-06-01 01:28:00
90,2265,Website,161.01,4.0,0,2021-06-01 01:29:00
91,764,Website,410.99,6.0,0,2021-06-01 01:30:00
92,2236,MobileApp,580.43,2.0,1,2021-06-01 01:31:00
93,380,MobileApp,179.68,3.0,0,2021-06-01 01:32:00
94,493,MobileApp,249.99,5.0,0,2021-06-01 01:33:00
95,1181,MobileApp,636.85,4.0,1,2021-06-01 01:34:00
96,2063,MobileApp,629.78,4.0,0,2021-06-01 01:35:00
97,65,Website,447.23,7.0,0,2021-06-01 01:36:00
98,2569,,544.88,4.0,0,2021-06-01 01:37:00
