TransactionID,UserID,TransactionAmount,TransactionDate,ProductCategory
1,861,240.18,2021-01-01 00:00:00,Books
2,1295,21.52,2021-01-01 01:00:00,Electronics
3,1131,53.83,2021-01-01 02:00:00,Electronics
4,1096,59.58,2021-01-01 03:00:00,Home
5,1639,91.38,2021-01-01 04:00:00,Electronics
6,2170,7.44,2021-01-01 05:00:00,Electronics
7,467,25.72,2021-01-01 06:00:00,Clothing
8,1239,268.08,2021-01-01 07:00:00,Electronics
9,331,239.04,2021-01-01 08:00:00,Electronics
10,1483,152.0,2021-01-01 09:00:00,Clothing
11,2136,1.96,2021-01-01 10:00:00,Electronics
12,2920,39.6,2021-01-01 11:00:00,Electronics
13,131,98.88,2021-01-01 12:00:00,Home
14,1686,32.18,2021-01-01 13:00:00,Electronics
15,770,240.34,2021-01-01 14:00:00,Electronics
16,2392,100.48,2021-01-01 15:00:00,Home
17,1516,7.46,2021-01-01 16:00:00,Clothing
18,2854,239.7,2021-01-01 17:00:00,Electronics
19,2434,316.45,2021-01-01 18:00:00,Books
20,1216,8.09,2021-01-01 19:00:00,Clothing
21,956,76.01,2021-01-01 20:00:00,Clothing
22,2325,36.15,2021-01-01 21:00:00,Electronics
23,1185,49.9,2021-01-01 22:00:00,Home
24,460,19.8,2021-01-01 23:00:00,Clothing
25,22,86.29,2021-01-02 00:00:00,Home
26,2301,316.96,2021-01-02 01:00:00,Books
27,748,69.93,2021-01-02 02:00:00,Home
28,2905,8.66,2021-01-02 03:00:00,Beauty
29,475,96.76,2021-01-02 04:00:00,Home
30,1083,41.59,2021-01-02 05:00:00,Clothing
31,2559,193.74,2021-01-02 06:00:00,Home
32,2048,57.04,2021-01-02 07:00:00,Home
33,2748,21.42,2021-01-02 08:00:00,Beauty
34,976,21.21,2021-01-02 09:00:00,Beauty
35,1807,146.43,2021-01-02 10:00:00,Electronics
36,190,30.87,2021-01-02 11:00:00,Clothing
37,2735,145.77,2021-01-02 12:00:00,Electronics
38,563,23.05,2021-01-02 13:00:00,Beauty
39,1900,38.81,2021-01-02 14:00:00,Home
40,1268,62.64,2021-01-02 15:00:00,Beauty
41,2880,286.81,2021-01-02 16:00:00,Books
42,1529,268.43,2021-01-02 17:00:00,Home
