Age,Annual_Income,Credit_Score,Total_Purchase,Account_Age,Has_Defaulted
55,80053,457,99,13,0
61,120061,834,92,2,1
30,62706,493,38,3,1
26,145870,848,6,29,0
27,51519,606,10,12,1
29,112604,732,75,1,0
23,84304,607,94,7,1
33,109989,329,88,15,1
18,133806,730,29,9,0
34,31611,355,50,5,0
19,100148,353,72,27,0
30,33817,756,65,3,0
25,102207,357,68,26,0
63,135482,762,34,3,0
24,60989,726,19,19,0
43,119415,314,56,18,1
68,137829,568,66,12,1
38,74685,392,88,3,0
55,82920,329,71,7,0
36,112070,596,56,25,1
38,126570,533,64,9,0
29,103263,431,92,23,1
60,101487,780,96,13,1
46,80610,770,65,22,0
47,30611,804,31,29,1
32,81480,318,8,22,1
68,87903,823,54,12,0
22,67631,721,4,24,0
41,143042,597,28,1,0
41,99134,545,31,8,1
59,138790,675,78,19,1
67,61219,509,58,3,1
48,47550,776,95,4,1
50,104194,424,21,18,0
40,48541,582,62,25,1
31,124626,502,74,25,0
59,83836,756,53,5,1
27,43890,361,28,11,1
25,135287,538,6,12,0
40,113893,690,22,3,1
19,81007,537,56,27,1
18,145624,584,89,26,0
35,129864,558,52,25,1
26,119167,326,35,2,1
42,132595,433,7,3,0
31,136056,599,45,3,1
69,44750,741,32,7,0
65,58286,534,90,29,0
60,142158,579,25,1,1
26,112273,331,54,2,1
48,119813,313,63,21,1
25,97341,386,60,26,1
21,112553,438,33,13,1
24,32513,784,96,3,1
39,57085,791,43,8,1
67,75028,460,77,21,0
21,146085,584,30,28,1
22,56116,610,23,12,0
42,144809,415,78,13,0
67,125994,591,45,29,1
61,114027,613,35,18,0
30,143779,345,25,9,1
44,84426,621,13,10,1
34,103367,419,28,2,1
63,108013,492,96,19,0
69,86870,726,25,9,1
59,65288,811,42,27,1
36,59138,769,37,20,0
33,131332,327,64,6,1
18,60605,556,3,6,1
22,129800,813,18,28,0
43,72842,837,68,15,0
65,57208,634,96,21,0
52,81559,619,44,15,1
41,114850,443,29,13,0
25,90927,810,99,24,1
44,41567,675,26,9,1
43,114453,644,93,14,0
58,64611,778,43,12,0
40,137361,362,86,29,1
27,74060,368,9,9,0
21,41931,831,97,11,1
57,32669,481,21,5,1
41,114942,342,23,6,1
54,136683,623,22,20,1
45,58594,321,44,14,1
55,140474,765,90,7,0
37,109707,432,55,21,0
56,127647,552,44,5,1
26,84612,798,42,26,0
50,133574,472,42,18,0
52,66858,600,76,9,1
28,82389,540,42,23,1
41,44365,361,11,27,1
33,76860,421,49,4,0
65,122436,585,78,4,0
41,90994,760,95,26,1
43,82404,323,96,17,0
25,44351,654,83,17,0
69,141234,736,52,27,1
46,109401,377,88,2,0
28,113001,700,44,21,0
64,145809,795,55,24,1
50,87662,823,86,25,0
42,52701,532,90,26,1
41,104539,675,91,29,0
19,64051,381,7,10,0
67,58775,466,11,3,0
31,144991,435,82,13,1
21,138247,486,60,19,1
18,80948,740,33,2,1
31,112670,390,34,24,0
24,117236,364,23,14,0
39,86186,547,92,26,0
24,129205,557,30,14,0
20,132343,320,67,18,1
30,102507,324,25,15,1
45,135863,550,36,21,0
39,134993,580,8,25,1
29,133993,411,92,6,1
